"Date","Time","Open","High","Low","Close","Volume"
11/11/2020,1552,119.3,119.43,119.29,119.36,276294
11/11/2020,1553,119.37,119.42,119.34,119.37,257303
11/11/2020,1554,119.36,119.49,119.35,119.48,314962
11/11/2020,1555,119.48,119.5,119.37,119.49,344618
11/11/2020,1556,119.48,119.5,119.44,119.47,462663
11/11/2020,1557,119.48,119.52,119.42,119.45,544352
11/11/2020,1558,119.44,119.49,119.43,119.48,449730
11/11/2020,1559,119.47,119.63,119.46,119.5,874013
11/12/2020,0930,119.7,119.84,119.45,119.6,1693510
11/12/2020,0931,119.61,119.66,118.97,119,858774
11/12/2020,0932,119,119.14,118.86,118.98,634552
11/12/2020,0933,118.98,119.07,118.81,118.99,537431
11/12/2020,0934,118.99,119.38,118.81,119.29,625367
11/12/2020,0935,119.29,119.41,118.99,119.07,615748
11/12/2020,0936,119.06,119.38,119,119.25,408048
11/12/2020,0937,119.25,119.68,119.25,119.64,481421
11/12/2020,0938,119.63,119.98,119.58,119.96,455692
11/12/2020,0939,119.97,120.05,119.77,119.83,701398
11/12/2020,0940,119.83,119.93,119.72,119.79,446673
11/12/2020,0941,119.78,120.02,119.77,119.97,455777
11/12/2020,0942,119.96,119.97,119.62,119.75,501913
11/12/2020,0943,119.74,119.78,119.59,119.72,349196
11/12/2020,0944,119.73,119.82,119.64,119.7,401841
11/12/2020,0945,119.7,119.82,119.54,119.6,436837
11/12/2020,0946,119.6,119.68,119.26,119.27,416792
11/12/2020,0947,119.28,119.38,119.14,119.31,355058
11/12/2020,0948,119.32,119.38,119.25,119.29,270689
11/12/2020,0949,119.29,119.32,119.08,119.11,332177
11/12/2020,0950,119.1,119.42,119.03,119.31,500267
11/12/2020,0951,119.3,119.44,119.24,119.38,297323
11/12/2020,0952,119.37,119.41,119.17,119.22,275935
11/12/2020,0953,119.22,119.47,119.2,119.46,301585
11/12/2020,0954,119.46,119.52,119.31,119.46,378786
11/12/2020,0955,119.47,119.5,119.31,119.36,215929
11/12/2020,0956,119.34,119.49,119.27,119.48,257029
11/12/2020,0957,119.48,119.58,119.39,119.57,323311
11/12/2020,0958,119.57,119.75,119.56,119.62,454247
11/12/2020,0959,119.63,119.74,119.62,119.72,257135
11/12/2020,1000,119.73,119.73,119.5,119.59,244385
11/12/2020,1001,119.57,119.77,119.55,119.7,281708
11/12/2020,1002,119.71,119.82,119.69,119.76,304328
11/12/2020,1003,119.76,119.87,119.72,119.83,279949
11/12/2020,1004,119.81,119.89,119.77,119.88,249738
11/12/2020,1005,119.87,120,119.85,119.9,296068
11/12/2020,1006,119.9,120.02,119.77,119.81,472610
11/12/2020,1007,119.8,119.86,119.75,119.86,228405
11/12/2020,1008,119.86,119.93,119.82,119.87,262744
11/12/2020,1009,119.87,119.89,119.79,119.86,224035
11/12/2020,1010,119.86,119.87,119.73,119.76,219267
11/12/2020,1011,119.77,119.84,119.67,119.8,267681
11/12/2020,1012,119.79,119.96,119.78,119.92,267233
11/12/2020,1013,119.92,120.17,119.91,120.16,486212
11/12/2020,1014,120.16,120.17,120.03,120.1,305364
11/12/2020,1015,120.09,120.14,119.95,120.02,235430
11/12/2020,1016,120.03,120.15,119.95,120.11,278601
11/12/2020,1017,120.11,120.12,119.98,120.03,318803
11/12/2020,1018,120.02,120.04,119.92,119.96,202375
11/12/2020,1019,119.96,120.01,119.88,119.93,240274
11/12/2020,1020,119.93,120.02,119.92,119.97,237482
11/12/2020,1021,119.97,120.07,119.97,120.07,226221
11/12/2020,1022,120.06,120.17,120.01,120.04,250469
11/12/2020,1023,120.04,120.13,120,120.05,214004
11/12/2020,1024,120.06,120.09,119.82,119.91,285367
11/12/2020,1025,119.91,119.97,119.88,119.92,228764
11/12/2020,1026,119.92,120.07,119.84,119.85,249227
11/12/2020,1027,119.85,119.94,119.76,119.86,298622
11/12/2020,1028,119.86,119.99,119.85,119.95,203849
11/12/2020,1029,119.96,120.02,119.92,119.99,224079
11/12/2020,1030,119.99,120.14,119.95,120.06,287649
11/12/2020,1031,120.08,120.16,120.03,120.07,191366
11/12/2020,1032,120.07,120.15,120.03,120.11,189698
11/12/2020,1033,120.1,120.21,120.07,120.15,259040
11/12/2020,1034,120.14,120.19,120.1,120.11,221470
11/12/2020,1035,120.11,120.2,120.09,120.18,329057
11/12/2020,1036,120.18,120.2,120.08,120.16,250578
11/12/2020,1037,120.16,120.28,120.16,120.21,399514
11/12/2020,1038,120.21,120.36,120.19,120.31,260162
11/12/2020,1039,120.33,120.36,120.25,120.27,244878
11/12/2020,1040,120.27,120.37,120.23,120.34,216442
11/12/2020,1041,120.33,120.53,120.28,120.47,621943
11/12/2020,1042,120.47,120.52,120.37,120.4,326291
11/12/2020,1043,120.39,120.52,120.39,120.44,219928
11/12/2020,1044,120.44,120.47,120.37,120.42,251442
11/12/2020,1045,120.41,120.5,120.4,120.47,243294
11/12/2020,1046,120.47,120.49,120.26,120.3,253117
11/12/2020,1047,120.31,120.38,120.23,120.37,247039
11/12/2020,1048,120.37,120.48,120.35,120.36,190450
11/12/2020,1049,120.36,120.4,120.34,120.36,131029
11/12/2020,1050,120.37,120.39,120.28,120.37,188291
11/12/2020,1051,120.37,120.5,120.37,120.38,189535
11/12/2020,1052,120.38,120.41,120.31,120.34,198494
11/12/2020,1053,120.33,120.36,120.28,120.3,152597
